time,avg_power_kw
834.571,3445.330121
835.571,3445.330121
836.571,3445.330121
837.571,3445.330121
838.571,3445.330121
839.571,3445.330121
840.571,3445.330121
841.571,3445.330121
842.571,3445.330121
843.571,3445.330121
844.571,3445.330121
845.571,3445.330121
846.571,3445.330121
847.571,3445.330121
848.571,3445.330121
849.571,3445.330121
850.571,3445.330121
851.571,3445.330121
852.571,3445.330121
853.571,3445.330121
854.571,3445.330121
855.571,3445.330121
856.571,3445.330121
857.571,3445.330121
858.571,3445.330121
859.571,3445.330121
860.571,3445.330121
861.571,3445.330121
862.571,3445.330121
863.571,3445.330121
864.571,3445.330121
865.571,3445.330121
866.571,3445.330121
867.571,3445.330121
868.571,3445.330121
869.571,3445.330121
870.571,3445.330121
871.571,3445.330121
872.571,3445.330121
873.571,3445.330121
874.571,3445.330121
875.571,3445.330121
876.571,3445.330121
877.571,3445.330121
878.571,3445.330121
879.571,3445.330121
880.571,3445.330121
881.571,3445.330121
882.571,3445.330121
883.571,3445.330121
884.571,3445.330121
885.571,3445.330121
886.571,3445.330121
887.571,3445.330121
888.571,3445.330121
889.571,3445.330121
890.571,3445.330121
891.571,3445.330121
892.571,3445.330121
893.571,3445.330121
894.571,3445.330121
895.571,3445.330121
896.571,3445.330121
897.571,3445.330121
898.571,3445.330121
899.571,3445.330121
900.571,3445.330121
901.571,3445.330121
902.571,3445.330121
903.571,3445.330121
904.571,3445.330121
905.571,3445.330121
906.571,3445.330121
907.571,3445.330121
908.571,3445.330121
909.571,3445.330121
910.571,3445.330121
911.571,3445.330121
912.571,3445.330121
913.571,3445.330121
914.571,3445.330121
915.571,3445.330121
916.571,3445.330121
917.571,3445.330121
918.571,3445.330121
919.571,3445.330121
920.571,3445.330121
921.571,3445.330121
922.571,3445.330121
923.571,3445.330121
924.571,3445.330121
925.571,3445.330121
926.571,3445.330121
927.571,3445.330121
928.571,3445.330121
929.571,3445.330121
930.571,3445.330121
931.571,3445.330121
932.571,3445.330121
933.571,3445.330121
934.571,3445.330121
935.571,3445.330121
936.571,3445.330121
937.571,3445.330121
938.571,3445.330121
939.571,3445.330121
940.571,3445.330121
941.571,3445.330121
942.571,3445.330121
943.571,3445.330121
944.571,3445.330121
945.571,3445.330121
946.571,3445.330121
947.571,3445.330121
948.571,3445.330121
949.571,3445.330121
950.571,3445.330121
951.571,3445.330121
952.571,3445.330121
953.571,3445.330121
954.571,3445.330121
955.571,3445.330121
956.571,3445.330121
957.571,3445.330121
958.571,3445.330121
959.571,3445.330121
960.571,3445.330121
961.571,3445.330121
962.571,3445.330121
963.571,3445.330121
964.571,3445.330121
965.571,3445.330121
966.571,3445.330121
967.571,3445.330121
968.571,3445.330121
969.571,3445.330121
970.571,3445.330121
971.571,3445.330121
972.571,3445.330121
973.571,3445.330121
974.571,3445.330121
975.571,3445.330121
976.571,3445.330121
977.571,3445.330121
978.571,3445.330121
979.571,3445.330121
980.571,3445.330121
981.571,3445.330121
982.571,3445.330121
983.571,3445.330121
984.571,3445.330121
985.571,3445.330121
986.571,3445.330121
987.571,3445.330121
988.571,3445.330121
989.571,3445.330121
990.571,3445.330121
991.571,3445.330121
992.571,3445.330121
993.571,3445.330121
994.571,3445.330121
995.571,3445.330121
996.571,3445.330121
997.571,3445.330121
998.571,3445.330121
999.571,3445.330121
1000.571,3445.330121
1001.571,3445.330121
1002.571,3445.330121
1003.571,3445.330121
1004.571,3445.330121
1005.571,3445.330121
1006.571,3445.330121
1007.571,3445.330121
1008.571,3445.330121
1009.571,3445.330121
1010.571,3445.330121
1011.571,3445.330121
1012.571,3445.330121
1013.571,3445.330121
1014.571,3445.330121
1015.571,3445.330121
1016.571,3445.330121
1017.571,3445.330121
1018.571,3445.330121
1019.571,3445.330121
1020.571,3445.330121
1021.571,3445.330121
1022.571,3445.330121
1023.571,3445.330121
1024.571,3445.330121
1025.571,3445.330121
1026.571,3445.330121
1027.571,3445.330121
1028.571,3445.330121
1029.571,3445.330121
1030.571,3445.330121
1031.571,3445.330121
1032.571,3445.330121
1033.571,3445.330121
1034.571,3445.330121
1035.571,3445.330121
1036.571,3445.330121
1037.571,3445.330121
1038.571,3445.330121
1039.571,3445.330121
1040.571,3445.330121
1041.571,3445.330121
1042.571,3445.330121
1043.571,3445.330121
1044.571,3445.330121
1045.571,3445.330121
1046.571,3445.330121
1047.571,3445.330121
1048.571,3445.330121
1049.571,3445.330121
1050.571,3445.330121
1051.571,3445.330121
1052.571,3445.330121
1053.571,3445.330121
1054.571,3445.330121
1055.571,3445.330121
1056.571,3445.330121
1057.571,3445.330121
1058.571,3445.330121
1059.571,3445.330121
1060.571,3445.330121
1061.571,3445.330121
1062.571,3445.330121
1063.571,3445.330121
1064.571,3445.330121
1065.571,3445.330121
1066.571,3445.330121
1067.571,3445.330121
1068.571,3445.330121
1069.571,3445.330121
1070.571,3445.330121
1071.571,3445.330121
1072.571,3445.330121
1073.571,3445.330121
1074.571,3445.330121
1075.571,3445.330121
1076.571,3445.330121
1077.571,3445.330121
1078.571,3445.330121
1079.571,3445.330121
1080.571,3445.330121
1081.571,3445.330121
1082.571,3445.330121
1083.571,3445.330121
1084.571,3445.330121
1085.571,3445.330121
1086.571,3445.330121
1087.571,3445.330121
1088.571,3445.330121
1089.571,3445.330121
1090.571,3445.330121
1091.571,3445.330121
1092.571,3445.330121
1093.571,3445.330121
1094.571,3445.330121
1095.571,3445.330121
1096.571,3445.330121
1097.571,3445.330121
1098.571,3445.330121
1099.571,3445.330121
1100.571,3445.330121
1101.571,3445.330121
1102.571,3445.330121
1103.571,3445.330121
1104.571,3445.330121
1105.571,3445.330121
1106.571,3445.330121
1107.571,3445.330121
1108.571,3445.330121
1109.571,3445.330121
1110.571,3445.330121
1111.571,3445.330121
1112.571,3445.330121
1113.571,3445.330121
1114.571,3445.330121
1115.571,3445.330121
1116.571,3445.330121
1117.571,3445.330121
1118.571,3445.330121
1119.571,3445.330121
1120.571,3445.330121
1121.571,3445.330121
1122.571,3445.330121
1123.571,3445.330121
1124.571,3445.330121
1125.571,3445.330121
1126.571,3445.330121
1127.571,3445.330121
1128.571,3445.330121
1129.571,3445.330121
1130.571,3445.330121
1131.571,3445.330121
1132.571,3445.330121
1133.571,3445.330121
1134.571,3445.330121
1135.571,3445.330121
1136.571,3445.330121
1137.571,3445.330121
1138.571,3445.330121
1139.571,3445.330121
1140.571,3445.330121
1141.571,3445.330121
1142.571,3445.330121
1143.571,3445.330121
1144.571,3445.330121
1145.571,3445.330121
1146.571,3445.330121
1147.571,3445.330121
1148.571,3445.330121
1149.571,3445.330121
1150.571,3445.330121
1151.571,3445.330121
1152.571,3445.330121
1153.571,3445.330121
1154.571,3445.330121
1155.571,3445.330121
1156.571,3445.330121
1157.571,3445.330121
1158.571,3445.330121
1159.571,3445.330121
1160.571,3445.330121
1161.571,3445.330121
1162.571,3445.330121
1163.571,3445.330121
1164.571,3445.330121
1165.571,3445.330121
1166.571,3445.330121
1167.571,3445.330121
1168.571,3445.330121
1169.571,3445.330121
1170.571,3445.330121
1171.571,3445.330121
1172.571,3445.330121
1173.571,3445.330121
1174.571,3445.330121
1175.571,3445.330121
1176.571,3445.330121
1177.571,3445.330121
1178.571,3445.330121
1179.571,3445.330121
1180.571,3445.330121
1181.571,3445.330121
1182.571,3445.330121
1183.571,3445.330121
1184.571,3445.330121
1185.571,3445.330121
1186.571,3445.330121
1187.571,3445.330121
1188.571,3445.330121
1189.571,3445.330121
1190.571,3445.330121
1191.571,3445.330121
1192.571,3445.330121
1193.571,3445.330121
1194.571,3445.330121
1195.571,3445.330121
1196.571,3445.330121
1197.571,3445.330121
1198.571,3445.330121
1199.571,3445.330121
1200.571,3445.330121
1201.571,3445.330121
1202.571,3445.330121
1203.571,3445.330121
1204.571,3445.330121
1205.571,3445.330121
1206.571,3445.330121
1207.571,3445.330121
1208.571,3445.330121
1209.571,3445.330121
1210.571,3445.330121
1211.571,3445.330121
1212.571,3445.330121
1213.571,3445.330121
1214.571,3445.330121
1215.571,3445.330121
1216.571,3445.330121
1217.571,3445.330121
1218.571,3445.330121
1219.571,3445.330121
1220.571,3445.330121
1221.571,3445.330121
1222.571,3445.330121
1223.571,3445.330121
1224.571,3445.330121
1225.571,3445.330121
1226.571,3445.330121
1227.571,3445.330121
1228.571,3445.330121
1229.571,3445.330121
1230.571,3445.330121
1231.571,3445.330121
1232.571,3445.330121
1233.571,3445.330121
1234.571,3445.330121
1235.571,3445.330121
1236.571,3445.330121
1237.571,3445.330121
1238.571,3445.330121
1239.571,3445.330121
1240.571,3445.330121
1241.571,3445.330121
1242.571,3445.330121
1243.571,3445.330121
1244.571,3445.330121
1245.571,3445.330121
1246.571,3445.330121
1247.571,3445.330121
1248.571,3445.330121
1249.571,3445.330121
1250.571,3445.330121
1251.571,3445.330121
1252.571,3445.330121
1253.571,3445.330121
1254.571,3445.330121
1255.571,3445.330121
1256.571,3445.330121
1257.571,3445.330121
1258.571,3445.330121
1259.571,3445.330121
1260.571,3445.330121
1261.571,3445.330121
1262.571,3445.330121
1263.571,3445.330121
1264.571,3445.330121
1265.571,3445.330121
1266.571,3445.330121
1267.571,3445.330121
1268.571,3445.330121
1269.571,3445.330121
1270.571,3445.330121
1271.571,3445.330121
1272.571,3445.330121
1273.571,3445.330121
1274.571,3445.330121
1275.571,3445.330121
1276.571,3445.330121
1277.571,3445.330121
1278.571,3445.330121
1279.571,3445.330121
1280.571,3445.330121
1281.571,3445.330121
1282.571,3445.330121
1283.571,3445.330121
1284.571,3445.330121
1285.571,3445.330121
1286.571,3445.330121
1287.571,3445.330121
1288.571,3445.330121
1289.571,3445.330121
1290.571,3445.330121
1291.571,3445.330121
1292.571,3445.330121
1293.571,3445.330121
1294.571,3445.330121
1295.571,3445.330121
1296.571,3445.330121
1297.571,3445.330121
1298.571,3445.330121
1299.571,3445.330121
1300.571,3445.330121
1301.571,3445.330121
1302.571,3445.330121
1303.571,3445.330121
1304.571,3445.330121
1305.571,3445.330121
1306.571,3445.330121
1307.571,3445.330121
1308.571,3445.330121
1309.571,3445.330121
1310.571,3445.330121
1311.571,3445.330121
1312.571,3445.330121
1313.571,3445.330121
1314.571,3445.330121
1315.571,3445.330121
1316.571,3445.330121
1317.571,3445.330121
1318.571,3445.330121
1319.571,3445.330121
1320.571,3445.330121
1321.571,3445.330121
1322.571,3445.330121
1323.571,3445.330121
1324.571,3445.330121
1325.571,3445.330121
1326.571,3445.330121
1327.571,3445.330121
1328.571,3445.330121
1329.571,3445.330121
1330.571,3445.330121
1331.571,3445.330121
1332.571,3445.330121
1333.571,3445.330121
1334.571,3445.330121
1335.571,3445.330121
1336.571,3445.330121
1337.571,3445.330121
1338.571,3445.330121
1339.571,3445.330121
1340.571,3445.330121
1341.571,3445.330121
1342.571,3445.330121
1343.571,3445.330121
1344.571,3445.330121
1345.571,3445.330121
1346.571,3445.330121
1347.571,3445.330121
1348.571,3445.330121
1349.571,3445.330121
1350.571,3445.330121
1351.571,3445.330121
1352.571,3445.330121
1353.571,3445.330121
1354.571,3445.330121
1355.571,3445.330121
1356.571,3445.330121
1357.571,3445.330121
1358.571,3445.330121
1359.571,3445.330121
1360.571,3445.330121
1361.571,3445.330121
1362.571,302.450793
1363.571,302.450793
1364.571,302.450793
1365.571,302.450793
1366.571,302.450793
1367.571,302.450793
1368.571,302.450793
1369.571,302.450793
